epoch,step,task_1/learning_curve/train/acc,task_1/learning_curve/train/loss_cls,task_1/learning_curve/val/acc,task_1/learning_curve/val/loss_cls,task_1/train/acc,task_1/train/acc_batch,task_1/train/loss,task_1/train/loss_batch,task_1/train/loss_cls,task_1/train/loss_cls_batch,task_2/learning_curve/train/acc,task_2/learning_curve/train/loss_cls,task_2/learning_curve/val/acc,task_2/learning_curve/val/loss_cls,task_2/train/acc,task_2/train/acc_batch,task_2/train/loss,task_2/train/loss_batch,task_2/train/loss_cls,task_2/train/loss_cls_batch,task_3/learning_curve/train/acc,task_3/learning_curve/train/loss_cls,task_3/learning_curve/val/acc,task_3/learning_curve/val/loss_cls,task_3/train/acc,task_3/train/acc_batch,task_3/train/loss,task_3/train/loss_batch,task_3/train/loss_cls,task_3/train/loss_cls_batch,task_4/learning_curve/train/acc,task_4/learning_curve/train/loss_cls,task_4/learning_curve/val/acc,task_4/learning_curve/val/loss_cls,task_4/train/acc,task_4/train/acc_batch,task_4/train/loss,task_4/train/loss_batch,task_4/train/loss_cls,task_4/train/loss_cls_batch,task_5/learning_curve/train/acc,task_5/learning_curve/train/loss_cls,task_5/learning_curve/val/acc,task_5/learning_curve/val/loss_cls,task_5/train/acc,task_5/train/acc_batch,task_5/train/loss,task_5/train/loss_batch,task_5/train/loss_cls,task_5/train/loss_cls_batch
0,139,,,,,,,,,,,,,,,0.9128348231315613,0.9375,1.0416839122772217,0.5242416262626648,0.2009214460849762,0.17195117473602295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,159,,,,,,,,,,,,,,,0.9195312261581421,0.984375,0.9565037488937378,0.32058224081993103,0.18654116988182068,0.048633377999067307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,169,,,,,,,,,,,,,0.9373937249183655,0.1800895631313324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,169,,,,,,,,,,,0.9229779243469238,0.1795414835214615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,179,,,,,,,,,,,,,,,0.887499988079071,0.953125,0.5427884459495544,0.3520728647708893,0.22930213809013367,0.10053710639476776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,0.9473958611488342,0.984375,0.3308161795139313,0.2620476484298706,0.11313511431217194,0.07309458404779434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,219,,,,,,,,,,,,,,,0.9568750262260437,0.9375,0.31055372953414917,0.4141883850097656,0.10134386271238327,0.17896781861782074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,239,,,,,,,,,,,,,,,0.9618303775787354,1.0,0.29283303022384644,0.11981374770402908,0.09516223520040512,0.02156408689916134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,259,,,,,,,,,,,,,,,0.964930534362793,0.96875,0.27408677339553833,0.2131996750831604,0.08849761635065079,0.06060172617435455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,279,,,,,,,,,,,,,,,0.9678977131843567,0.984375,0.2572767436504364,0.3268861770629883,0.08252763748168945,0.1363021731376648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,0.9695913195610046,0.984375,0.2456303983926773,0.14054237306118011,0.07990500330924988,0.05216318368911743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,319,,,,,,,,,,,,,,,0.9712499976158142,1.0,0.233109250664711,0.08499385416507721,0.07602559030056,0.020029962062835693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,,,,,,,,,,,,,0.9725183844566345,0.984375,0.22475840151309967,0.11323118209838867,0.07419782876968384,0.04107268527150154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,,,,,,,,,,,0.9632254838943481,0.11050170660018921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,,,,,,,,,0.9725183844566345,0.07419782876968384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,,,,,,,,,,,0.7210937738418579,0.890625,1.418943166732788,0.7878057956695557,0.6064721345901489,0.4064731299877167,,,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,,,,,,,,,,,0.819531261920929,0.953125,0.9171818494796753,0.20635302364826202,0.4140703082084656,0.09081544727087021,,,,,,,,,,,,,,,,,,,,
0,59,,,,,,,,,,,,,,,,,,,,,,,,,0.870312511920929,0.984375,0.6805558800697327,0.15378910303115845,0.300658643245697,0.04221153259277344,,,,,,,,,,,,,,,,,,,,
0,79,,,,,,,,,,,,,,,,,,,,,,,,,0.8988281488418579,0.9375,0.5480831861495972,0.4115658402442932,0.23763103783130646,0.15682613849639893,,,,,,,,,,,,,,,,,,,,
0,99,,,,,,,,,,,,,,,,,,,,,,,,,0.9173437356948853,0.96875,0.4592638313770294,0.14559343457221985,0.19516649842262268,0.03755934163928032,,,,,,,,,,,,,,,,,,,,
0,119,,,,,,,,,,,,,,,,,,,,,,,,,0.9300781488418579,1.0,0.3976120352745056,0.06697307527065277,0.16560213267803192,0.006625897251069546,,,,,,,,,,,,,,,,,,,,
0,139,,,,,,,,,,,,,,,,,,,,,,,,,0.9379464387893677,1.0,0.3614621162414551,0.08348000049591064,0.14813466370105743,0.018587619066238403,,,,,,,,,,,,,,,,,,,,
0,157,,,,,,,,,,,,,,,,,,,,,,,0.948437511920929,0.09110003709793091,,,,,,,,,,,,,,,,,,,,,,,,,,
0,157,,,,,,,,,,,,,,,,,,,,,0.943532407283783,0.1354432851076126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,159,,,,,,,,,,,,,,,,,,,,,,,,,0.8359375,0.984375,0.911378026008606,0.5682507753372192,0.45032912492752075,0.29905542731285095,,,,,,,,,,,,,,,,,,,,
1,179,,,,,,,,,,,,,,,,,,,,,,,,,0.9779829382896423,1.0,0.16774791479110718,0.054176829755306244,0.06235586106777191,0.0026367371901869774,,,,,,,,,,,,,,,,,,,,
1,199,,,,,,,,,,,,,,,,,,,,,,,,,0.9854910969734192,1.0,0.13193300366401672,0.0762283205986023,0.042525917291641235,0.016530171036720276,,,,,,,,,,,,,,,,,,,,
1,219,,,,,,,,,,,,,,,,,,,,,,,,,0.9884072542190552,1.0,0.11695642024278641,0.05702096223831177,0.03465791419148445,0.006260683760046959,,,,,,,,,,,,,,,,,,,,
1,239,,,,,,,,,,,,,,,,,,,,,,,,,0.988567054271698,1.0,0.12006217986345291,0.06754451990127563,0.035512298345565796,0.011981422081589699,,,,,,,,,,,,,,,,,,,,
1,259,,,,,,,,,,,,,,,,,,,,,,,,,0.9889705777168274,0.984375,0.11520430445671082,0.12367761135101318,0.03329639509320259,0.031118635088205338,,,,,,,,,,,,,,,,,,,,
1,279,,,,,,,,,,,,,,,,,,,,,,,,,0.9901382923126221,1.0,0.10833866149187088,0.05447537824511528,0.030188772827386856,0.004683130886405706,,,,,,,,,,,,,,,,,,,,
1,299,,,,,,,,,,,,,,,,,,,,,,,,,0.9905369877815247,0.984375,0.10451769083738327,0.10987897217273712,0.028656935319304466,0.036516182124614716,,,,,,,,,,,,,,,,,,,,
1,315,,,,,,,,,,,,,,,,,,,,,,,0.9695723652839661,0.05730782821774483,,,,,,,,,,,,,,,,,,,,,,,,,,
