after_training_task,average_accuracy,test_on_task_1,test_on_task_2,test_on_task_3,test_on_task_4,test_on_task_5
1,0.9560917615890503,0.9560917615890503
2,0.38988327980041504,0.1252966821193695,0.654469907283783
3,0.6507449746131897,0.1061115488409996,0.9048655033111572,0.941257894039154
4,0.4072636365890503,0.10680379718542099,0.09998022019863129,0.6038370132446289,0.8184335231781006
5,0.35502374172210693,0.10680379718542099,0.09998022019863129,0.6198576092720032,0.8413766026496887,0.1071004718542099
