epoch,step,task_1/learning_curve/train/acc,task_1/learning_curve/train/loss_cls,task_1/learning_curve/val/acc,task_1/learning_curve/val/loss_cls,task_1/train/acc,task_1/train/acc_batch,task_1/train/loss,task_1/train/loss_batch,task_1/train/loss_cls,task_1/train/loss_cls_batch,task_2/learning_curve/train/acc,task_2/learning_curve/train/loss_cls,task_2/learning_curve/val/acc,task_2/learning_curve/val/loss_cls,task_2/train/acc,task_2/train/acc_batch,task_2/train/loss,task_2/train/loss_batch,task_2/train/loss_cls,task_2/train/loss_cls_batch,task_3/learning_curve/train/acc,task_3/learning_curve/train/loss_cls,task_3/learning_curve/val/acc,task_3/learning_curve/val/loss_cls,task_3/train/acc,task_3/train/acc_batch,task_3/train/loss,task_3/train/loss_batch,task_3/train/loss_cls,task_3/train/loss_cls_batch,task_4/learning_curve/train/acc,task_4/learning_curve/train/loss_cls,task_4/learning_curve/val/acc,task_4/learning_curve/val/loss_cls,task_4/train/acc,task_4/train/acc_batch,task_4/train/loss,task_4/train/loss_batch,task_4/train/loss_cls,task_4/train/loss_cls_batch,task_5/learning_curve/train/acc,task_5/learning_curve/train/loss_cls,task_5/learning_curve/val/acc,task_5/learning_curve/val/loss_cls,task_5/train/acc,task_5/train/acc_batch,task_5/train/loss,task_5/train/loss_batch,task_5/train/loss_cls,task_5/train/loss_cls_batch
1,179,,,,,1.0,1.0,0.271649569272995,0.12410604953765869,0.2227799892425537,0.07410185784101486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,199,,,,,0.9978693127632141,1.0,0.07805253565311432,0.05194742977619171,0.026233797892928123,3.061406096094288e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,219,,,,,0.9985119104385376,1.0,0.06686888635158539,0.05175556242465973,0.015053908340632915,2.045361907221377e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,239,,,,,0.9982358813285828,1.0,0.06430946290493011,0.06158651411533356,0.012539127841591835,0.009965354576706886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,259,,,,,0.9980944991111755,1.0,0.06248988211154938,0.05175022780895233,0.01077029574662447,0.0002630438539199531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,279,,,,,0.9984681606292725,1.0,0.06039896607398987,0.051279354840517044,0.008754598908126354,6.153440335765481e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,299,,,,,0.9985911846160889,1.0,0.05962761491537094,0.05092555657029152,0.008080308325588703,5.316273382049985e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,319,,,,,0.9986795783042908,0.984375,0.0586123950779438,0.06351282447576523,0.0072064828127622604,0.013171384111046791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,339,,,,,0.9987461566925049,1.0,0.05776779726147652,0.05032749101519585,0.006499176379293203,6.67862404952757e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,355,,,0.976934552192688,0.036492664366960526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,355,0.998771071434021,0.006164361722767353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,,,,,,,,,,,0.585156261920929,0.859375,0.7265297770500183,0.6093398332595825,0.678573727607727,0.5620867013931274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,,,,,,,,,,,,,,0.743359386920929,0.9375,0.5658015012741089,0.18372398614883423,0.5182441473007202,0.13660584390163422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
