after_training_task,average_classification_loss,test_on_task_1,test_on_task_2,test_on_task_3,test_on_task_4,test_on_task_5




1,2.0318164825439453,2.0318164825439453

2,2.0076279640197754,2.0318164825439453,1.983439564704895

3,2.003858804702759,2.0318164825439453,1.983439564704895,1.996320128440857

4,2.007286787033081,2.0318164825439453,1.983439564704895,1.996320128440857,2.017570972442627

5,2.016475200653076,2.0318164825439453,1.983439564704895,1.996320128440857,2.017570972442627,2.053229331970215
