after_training_task,average_accuracy,test_on_task_1,test_on_task_2,test_on_task_3,test_on_task_4,test_on_task_5
1,0.9995404481887817,0.9995404481887817
2,0.6819986701011658,0.3883272111415863,0.9756700992584229
3,0.7779000401496887,0.3681066036224365,0.9697602391242981,0.9958333373069763
4,0.8153071403503418,0.6505820751190186,0.8102774620056152,0.8111111521720886,0.9892578125
5,0.6873413920402527,0.5407475233078003,0.5878401398658752,0.8236690163612366,0.99072265625,0.49372759461402893
