after_training_task,average_classification_loss,test_on_task_1,test_on_task_2,test_on_task_3,test_on_task_4,test_on_task_5
1,0.0009124354692175984,0.0009124354692175984
2,0.3917710781097412,0.7048887014389038,0.07865342497825623
3,0.2669049799442291,0.7092282772064209,0.07871241867542267,0.012774290516972542
4,0.431877076625824,0.678459644317627,0.627082884311676,0.3941537141799927,0.02781209535896778
5,0.4917157292366028,0.6873347759246826,0.6844735741615295,0.3631090819835663,0.024401556700468063,0.6992596983909607
